sample_id,path,cancer_type,response
GSM4104144_SC16,data/scRNAseq/GSM4104144_SC16_clustered.rds,Lung,Resistant
GSM4104149_SC49,data/scRNAseq/GSM4104149_SC49_clustered.rds,Lung,Resistant
GSM4104155_SC55,data/scRNAseq/GSM4104155_SC55_clustered.rds,Lung,Resistant
GSM4104146_SC39,data/scRNAseq/GSM4104146_SC39_clustered.rds,Lung,Sensitive
GSM4104154_SC4,data/scRNAseq/GSM4104154_SC4_clustered.rds,Lung,Sensitive
SCLC1,data/scRNAseq/SCLC1_Resistant_clustered.rds,Lung,Resistant
SCLC2,data/scRNAseq/SCLC2_Resistant_clustered.rds,Lung,Resistant
SCLC5,data/scRNAseq/SCLC5_Sensitive_clustered.rds,Lung,Sensitive
SCLC7,data/scRNAseq/SCLC7_Resistant_clustered.rds,Lung,Resistant
HBCx_95,data/scRNAseq/HBCx_95_sensitive_clustered.rds,Breast,Sensitive
HBCx_95_CAPAR,data/scRNAseq/HBCx_95_CAPAR_Resistant_clustered.rds,Breast,Resistant
HTA12_1_1,data/scRNAseq/HTA12_1_1_clustered.rds,Pancreatic,Resistant
HTA12_6_10,data/scRNAseq/HTA12_6_10_clustered.rds,Pancreatic,Resistant
GSM6204114_P06,data/scRNAseq/GSE205013/GSM6204114_P06_clustered.rds,Pancreatic,Resistant
GSM6204120_P12,data/scRNAseq/GSE205013/GSM6204120_P12_clustered.rds,Pancreatic,Resistant
GSM6204111_P03,data/scRNAseq/GSE205013/GSM6204111_P03_clustered.rds,Pancreatic,Sensitive
GSM6204122_P14,data/scRNAseq/GSE205013/GSM6204122_P14_clustered.rds,Pancreatic,Sensitive
